Country Name;Series Name;Series Code;2019;2020;2021;2022
Australia;Control of Corruption: Estimate;CC.EST;1.8221447467804;1.66249871253967;1.73749423027039;1.73749423027039
Australia;Government Effectiveness: Estimate;GE.EST;1.56487631797791;1.61007499694824;1.51292824745178;1.51292824745178
Australia;Political Stability and Absence of Violence/Terrorism: Estimate;PV.EST;0.911745727062225;0.850844323635101;0.850988686084747;0.850988686084747
Australia;Regulatory Quality: Estimate;RQ.EST;1.87215864658356;1.82251787185669;1.83872807025909;1.83872807025909
Australia;Rule of Law: Estimate;RL.EST;1.72611081600189;1.64262545108795;1.67429053783417;1.67429053783417
Australia;Voice and Accountability: Estimate;VA.EST;1.26739799976349;1.30358374118805;1.37944209575653;1.37944209575653
Belgium;Control of Corruption: Estimate;CC.EST;1.48185706138611;1.47522222995758;1.48448967933655;1.48448967933655
Belgium;Government Effectiveness: Estimate;GE.EST;1.14229798316956;1.11614394187927;1.12509024143218;1.12509024143218
Belgium;Political Stability and Absence of Violence/Terrorism: Estimate;PV.EST;0.473777532577515;0.543469667434692;0.612554728984833;0.612554728984833
Belgium;Regulatory Quality: Estimate;RQ.EST;1.289381980896;1.35435712337494;1.34247267246246;1.34247267246246
Belgium;Rule of Law: Estimate;RL.EST;1.36670064926147;1.36030185222626;1.32595896720886;1.32595896720886
Belgium;Voice and Accountability: Estimate;VA.EST;1.31019818782806;1.28246104717255;1.28270888328552;1.28270888328552
Brazil;Control of Corruption: Estimate;CC.EST;-0.386171013116837;-0.407126694917679;-0.477816075086594;-0.477816075086594
Brazil;Government Effectiveness: Estimate;GE.EST;-0.206858992576599;-0.4376100897789;-0.46029195189476;-0.46029195189476
Brazil;Political Stability and Absence of Violence/Terrorism: Estimate;PV.EST;-0.713788211345673;-0.431489855051041;-0.485006988048553;-0.485006988048553
Brazil;Regulatory Quality: Estimate;RQ.EST;-0.109311006963253;-0.0972420945763588;-0.110795244574547;-0.110795244574547
Brazil;Rule of Law: Estimate;RL.EST;-0.203433260321617;-0.209849342703819;-0.280396819114685;-0.280396819114685
Brazil;Voice and Accountability: Estimate;VA.EST;0.302300244569778;0.295445382595062;0.278196901082993;0.278196901082993
Canada;Control of Corruption: Estimate;CC.EST;1.76385736465454;1.59498167037964;1.64609467983246;1.64609467983246
Canada;Government Effectiveness: Estimate;GE.EST;1.7242956161499;1.63518702983856;1.6038920879364;1.6038920879364
Canada;Political Stability and Absence of Violence/Terrorism: Estimate;PV.EST;1.01676774024963;1.02984178066254;0.936902642250061;0.936902642250061
Canada;Regulatory Quality: Estimate;RQ.EST;1.71465253829956;1.60048234462738;1.61724555492401;1.61724555492401
Canada;Rule of Law: Estimate;RL.EST;1.7518424987793;1.6466429233551;1.62713325023651;1.62713325023651
Canada;Voice and Accountability: Estimate;VA.EST;1.43186473846436;1.47540128231049;1.45788443088531;1.45788443088531
Chile;Control of Corruption: Estimate;CC.EST;1.00874698162079;1.13407325744629;0.983726680278778;0.983726680278778
Chile;Government Effectiveness: Estimate;GE.EST;0.891052961349487;0.737568378448486;0.626065135002136;0.626065135002136
Chile;Political Stability and Absence of Violence/Terrorism: Estimate;PV.EST;0.00792970694601536;0.0691350102424622;0.0626366063952446;0.0626366063952446
Chile;Regulatory Quality: Estimate;RQ.EST;1.17115616798401;0.962318956851959;0.953365683555603;0.953365683555603
